      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 04:35:53     -164.671341*       0.2798
FIRE:    1 04:35:53     -164.672974*       0.2792
FIRE:    2 04:35:53     -164.676193*       0.2781
FIRE:    3 04:35:53     -164.680893*       0.2762
FIRE:    4 04:35:53     -164.686920*       0.2733
FIRE:    5 04:35:53     -164.694168*       0.2693
FIRE:    6 04:35:53     -164.702499*       0.2641
FIRE:    7 04:35:53     -164.711716*       0.2580
FIRE:    8 04:35:53     -164.722870*       0.2506
FIRE:    9 04:35:53     -164.736084*       0.2411
FIRE:   10 04:35:53     -164.751450*       0.2259
FIRE:   11 04:35:53     -164.768356*       0.2007
FIRE:   12 04:35:53     -164.785431*       0.1636
FIRE:   13 04:35:53     -164.800507*       0.1179
FIRE:   14 04:35:53     -164.811905*       0.0744
FIRE:   15 04:35:53     -164.819733*       0.0626
FIRE:   16 04:35:53     -164.824738*       0.0522
FIRE:   17 04:35:53     -164.826660*       0.0385
FIRE:   18 04:35:53     -164.826691*       0.0424
FIRE:   19 04:35:53     -164.826828*       0.0418
FIRE:   20 04:35:53     -164.827118*       0.0406
FIRE:   21 04:35:53     -164.827499*       0.0391
FIRE:   22 04:35:54     -164.828003*       0.0374
FIRE:   23 04:35:54     -164.828568*       0.0360
FIRE:   24 04:35:54     -164.829193*       0.0351
FIRE:   25 04:35:54     -164.829880*       0.0348
FIRE:   26 04:35:54     -164.830688*       0.0351
FIRE:   27 04:35:54     -164.831619*       0.0359
FIRE:   28 04:35:54     -164.832687*       0.0366
FIRE:   29 04:35:54     -164.833954*       0.0368
FIRE:   30 04:35:54     -164.835480*       0.0358
FIRE:   31 04:35:54     -164.837296*       0.0335
FIRE:   32 04:35:54     -164.839417*       0.0322
FIRE:   33 04:35:54     -164.841675*       0.0294
FIRE:   34 04:35:54     -164.843292*       0.0150
FIRE:   35 04:35:54     -164.843353*       0.0262
FIRE:   36 04:35:54     -164.843430*       0.0251
FIRE:   37 04:35:54     -164.843567*       0.0230
FIRE:   38 04:35:54     -164.843750*       0.0200
FIRE:   39 04:35:54     -164.843948*       0.0176
FIRE:   40 04:35:54     -164.844177*       0.0147
FIRE:   41 04:35:54     -164.844360*       0.0115
FIRE:   42 04:35:54     -164.844528*       0.0091
FIRE:   43 04:35:54     -164.844650*       0.0091
FIRE:   44 04:35:54     -164.844757*       0.0116
FIRE:   45 04:35:54     -164.844864*       0.0142
FIRE:   46 04:35:54     -164.845047*       0.0152
FIRE:   47 04:35:54     -164.845261*       0.0138
FIRE:   48 04:35:55     -164.845474*       0.0096
FIRE:   49 04:35:55     -164.845673*       0.0096
FIRE:   50 04:35:55     -164.845840*       0.0115
FIRE:   51 04:35:55     -164.845993*       0.0089
FIRE:   52 04:35:55     -164.846146*       0.0087
FIRE:   53 04:35:55     -164.846222*       0.0098
FIRE:   54 04:35:55     -164.846222*       0.0089
FIRE:   55 04:35:55     -164.846268*       0.0072
FIRE:   56 04:35:55     -164.846313*       0.0049
FIRE:   57 04:35:55     -164.846359*       0.0042
FIRE:   58 04:35:55     -164.846375*       0.0036
FIRE:   59 04:35:55     -164.846375*       0.0051
FIRE:   60 04:35:55     -164.846405*       0.0059
FIRE:   61 04:35:55     -164.846420*       0.0057
FIRE:   62 04:35:55     -164.846466*       0.0045
FIRE:   63 04:35:55     -164.846481*       0.0030
FIRE:   64 04:35:55     -164.846512*       0.0032
FIRE:   65 04:35:55     -164.846527*       0.0029
FIRE:   66 04:35:55     -164.846573*       0.0025
FIRE:   67 04:35:55     -164.846603*       0.0035
FIRE:   68 04:35:55     -164.846619*       0.0037
FIRE:   69 04:35:55     -164.846664*       0.0022
FIRE:   70 04:35:55     -164.846695*       0.0039
FIRE:   71 04:35:55     -164.846725*       0.0040
FIRE:   72 04:35:55     -164.846771*       0.0022
FIRE:   73 04:35:55     -164.846771*       0.0027
FIRE:   74 04:35:55     -164.846786*       0.0020
FIRE:   75 04:35:56     -164.846771*       0.0008
FIRE:   76 04:35:56     -164.846786*       0.0009
FIRE:   77 04:35:56     -164.846786*       0.0015
FIRE:   78 04:35:56     -164.846786*       0.0017
FIRE:   79 04:35:56     -164.846802*       0.0013
FIRE:   80 04:35:56     -164.846802*       0.0009
FIRE:   81 04:35:56     -164.846786*       0.0011
FIRE:   82 04:35:56     -164.846802*       0.0009
FIRE:   83 04:35:56     -164.846786*       0.0011
FIRE:   84 04:35:56     -164.846802*       0.0011
FIRE:   85 04:35:56     -164.846802*       0.0004
